text,
"điều 16. xóa và mở thêm lớp học phần 1. xóa lớp học phần trường ĐHCT sẽ xóa những lớp học phần có số lượng đăng ký ít hơn 20 SV, những trường hợp đặc biệt do hiệu trưởng quyết định. trong tuần đầu HK, những SV đã đăng ký các học phần bị xóa do không đủ điều kiện mở lớp được phép đăng ký học phần khác để thay thế trừ các học phần thực hành, thí nghiệm, thực tập tại cơ sở, GDQPAN, GDTC. 2. mở thêm lớp học phần trong thời gian quy định đăng ký học phần của HK, nếu có từ 20 SV trở lên có nguyện vọng học, được trưởng bộ môn thuộc khoa, viện hoặc trung tâm hoặc trưởng khoa thuộc trường chuyên ngành quản lý học phần đó chấp thuận, trường ĐHCT sẽ mở thêm lớp học phần theo đề nghị.",__label__Dao_tao
"điều 17. đăng ký học lại 1. các học phần có điểm F sẽ không được tích lũy. nếu là học phần bắt buộc, SV phải đăng ký học lại những học phần này nếu là học phần tự chọn, SV có thể đăng ký học lại hoặc chọn học phần tự chọn khác. 2. SV có thể đăng ký học để cải thiện kết quả. điểm của học phần sẽ là điểm cao nhất trong các lần học. số TC của học phần học cải thiện bị điểm F sẽ không tính giảm một mức hạng tốt nghiệp theo điểm a, khoản 2, điều 34. 3. đối với học phần tự chọn, nếu SV tích lũy số TC nhiều hơn yêu cầu của nhóm học phần tự chọn, khi xét tốt nghiệp SV có thể lựa chọn học phần có điểm cao để tính.",__label__Dao_tao
" điều 18. nghỉ học tạm thời, cảnh báo học tập, đình chỉ học tập và buộc thôi học 1. nghỉ học tạm thời SV có thể làm đơn xin phép nghỉ học tạm thời trong các trường hợp sau đây a được điều động vào các lực lượng vũ trang. b được cơ quan có thẩm quyền điều động, đại diện quốc gia tham dự các kỳ thi, giải đấu quốc tế. c bị ốm, thai sản hoặc tai nạn phải điều trị trong thời gian dài có chứng nhận của cơ sở khám bệnh, chữa bệnh có thẩm quyền theo quy định của bộ Y tế. d vì lý do cá nhân hoàn cảnh gia đình neo đơn, việc riêng,.... trường hợp này chỉ giải quyết khi SV đã học ít nhất 1 HK ở trường ĐHCT, không thuộc các trường hợp bị xem xét buộc thôi học hoặc xem xét kỷ luật. thời gian nghỉ học tạm thời trong trường hợp này được tính vào thời gian học tập tối đa để hoàn thành CTĐT theo quy định tại điều 5 của quy định này. nếu được chấp thuận, SV sẽ được nhận quyết định cho phép nghỉ học tạm thời của hiệu trưởng. khi hết thời gian nghỉ học tạm thời và chậm nhất là 2 tuần trước khi HK mới bắt đầu, SV phải nộp hồ sơ đề nghị được học lại. nếu đủ điều kiện, hiệu trưởng sẽ có quyết định thu nhận SV học lại. 2. cảnh báo học tập là hình thức cảnh báo SV trong các trường hợp a có ĐTBCHK đạt dưới 0.80 đối với HK đầu của khóa học, dưới 1.00 đối với các HK tiếp theo. b không đăng ký học trong HK mà không được sự cho phép của hiệu trưởng. c từ khóa 47 trở về sau, ngoài áp dụng quy định tại điểm a và điểm b khoản này, SV bị cảnh báo học tập trong các trường hợp - tổng số TC không đạt trong HK vượt quá 50% khối lượng đã đăng ký học trong HK, hoặc tổng số TC nợ đọng từ đầu khóa học vượt quá 24 TC. - điểm trung bình tích lũy đạt dưới 1.2 đối với SV trình độ năm thứ nhất, dưới 1.4 đối với SV trình độ năm thứ hai, dưới 1.6 đối với SV trình độ năm thứ ba, dưới 1.8 đối với SV các năm tiếp theo. 3. đình chỉ học tập 1 HK trong các trường hợp a bị kỷ luật ở mức đình chỉ học tập 1 HK. b có ĐRL yếu, kém trong 2 HK liên tiếp. 4. đình chỉ học tập 1 năm trong trường hợp bị kỷ luật ở mức đình chỉ học tập. 5. buộc thôi học trong các trường hợp a bị kỷ luật ở mức buộc thôi học. b đã bị cảnh báo học tập và HK kế tiếp có ĐTBCHK dưới 1.00. những trường hợp đặc biệt sẽ do hiệu trưởng quyết định. c nghỉ học tạm thời quá thời hạn cho phép. d không đăng ký học trong 2 HK liên tiếp mà không được sự cho phép của hiệu trưởng. đ không đóng học phí 2 HK liên tiếp. e có ĐRL yếu, kém 2 HK liên tiếp lần thứ hai. g thời gian học tập vượt quá thời hạn theo quy định tại điều 5 của quy định này. h người học sử dụng hồ sơ, văn bằng, chứng chỉ giả làm điều kiện trúng tuyển hoặc điều kiện tốt nghiệp văn bằng tốt nghiệp nếu đã được cấp sẽ bị thu hồi, hủy bỏ. những trường hợp bị buộc thôi học tại điểm b, điểm g, SV có thể xin xét chuyển sang học các chương trình giáo dục thường xuyên tương ứng nếu có. sinh viên có thể xin thôi học vì lý do cá nhân, trừ trường hợp bị xem xét buộc thôi học hoặc xem xét kỷ luật. những SV này muốn quay trở lại học phải dự tuyển đầu vào. sinh viên được bảo lưu kết quả học tập đã tích lũy trong trường hợp bị buộc thôi học hoặc được thôi học vì lý do cá nhân. CVHT thông báo về gia đình những trường hợp SV bị cảnh báo học tập và bị xử lý kỷ luật. trường ĐHCT gửi quyết định về địa phương và gia đình các trường hợp SV bị đình chỉ học tập hoặc buộc thôi học. ",__label__Dao_tao
"điều 19. giờ lên lớp sinh viên phải dự 100% số tiết đối với các học phần thực hành, thí nghiệm, thực tập tại cơ sở, GDQPAN, GDTC phải tham dự tối thiểu 80% số tiết đối với các học phần lý thuyết. SV vắng tham gia lớp nhiều hơn thời gian quy định sẽ bị cấm thi. giảng viên GV giảng dạy học phần đề nghị trưởng đơn vị đào tạo duyệt danh sách SV bị cấm thi và cho điểm F vào bảng điểm. vào buổi học đầu tiên, GV thông báo cho SV biết đề cương chi tiết học phần nội dung học phần, chuẩn đầu ra của học phần, phương pháp giảng dạy, hình thức kiểm tra, đánh giá, cách tính điểm,.... công tác giảng dạy, học tập được thực hiện 6 ngày/tuần trừ chủ nhật. thời gian giảng dạy trong ngày được phân bố như bảng dưới đây  BUỔI HỌC  TIẾT  GIỜ HỌC  THỜI GIAN NGHỈ  --------------------------------------------------  SÁNG  1  0700 - 0750  không   SÁNG  2  0750 - 0840  10 phút   SÁNG  3  0850 - 0940  10 phút   SÁNG  4  0950 - 1040  không   SÁNG  5  1040 - 1130    CHIỀU  6  1330 - 1420  không   CHIỀU  7  1420 - 1510  10 phút   CHIỀU  8  1520 - 1610  không   CHIỀU  9  1610 - 1700    CHIỀU  10  tiết nghỉ chung    TỐI  11  1820 - 1910  không   TỐI  12  1910 - 2000",__label__Dao_tao
"điều 20. học cùng lúc hai chương trình trong quá trình học, SV có thể học thêm chương trình thứ hai. khi tích lũy đầy đủ những học phần theo chương trình thứ hai, SV sẽ được cấp văn bằng của chương trình thứ hai. 1. điều kiện để học cùng lúc hai chương trình a ngành đào tạo ở chương trình thứ hai phải khác ngành đào tạo ở chương trình thứ nhất. b đối với SV tuyển sinh đào tạo từ năm học 2020  2021 khóa 46 trở về trước, SV phải hoàn thành HK đầu tiên và có ĐTBCTL từ 2.00 trở lên. đối với SV thuộc khóa 47 trở về sau, SV được xếp trình độ năm thứ hai của chương trình thứ nhất xem điều 30 và SV phải đáp ứng 01 trong 02 điều kiện như sau tại thời điểm đăng ký - có ĐTBCTL từ 2.50 trở lên và đáp ứng ngưỡng đảm bảo chất lượng của chương trình thứ hai trong năm tuyển sinh điểm sàn và các điều kiện khác nếu có - hoặc có ĐTBCTL từ 2.00 trở lên và đáp ứng điều kiện trúng tuyển của chương trình thứ hai trong năm tuyển sinh điểm chuẩn và các điều kiện khác nếu có. c đơn vị đào tạo quản lý chương trình thứ hai còn khả năng tiếp nhận thêm SV. 2. thủ tục đăng ký học thêm chương trình thứ hai a sinh viên đăng ký học chương trình thứ hai vào đầu mỗi HK theo thông báo của trường. b khi có quyết định chấp thuận học cùng lúc hai chương trình, SV tự nghiên cứu CTĐT của chương trình thứ hai và bổ sung các học phần cần phải học vào KHHTTK để đăng ký học phần. c sau khi tốt nghiệp chương trình thứ nhất, SV sẽ được chuyển về đơn vị đào tạo quản lý chương trình thứ hai để quản lý và được bố trí CVHT mới. đơn vị đào tạo quản lý chương trình thứ hai sẽ xét các học phần của CTĐT thứ hai SV được miễn do SV đã tích lũy các học phần này ở CTĐT thứ nhất và SV sẽ xây dựng KHHTTK của CTĐT thứ hai dưới sự hướng dẫn của CVHT mới. 3.",__label__Dao_tao
"sinh viên học cùng lúc hai chương trình chỉ được hưởng các chế độ quyền lợi đối với chương trình thứ nhất. 4. tổng số TC SV học cùng lúc hai chương trình được phép đăng ký tối đa trong HK được thực hiện theo quy định điều 14 của quy định này. 5. thời gian học tập tối đa được phép học đối với SV học cùng lúc hai chương trình là thời gian học tập tối đa quy định cho chương trình thứ nhất được quy định tại điều 5 của quy định này. 6. khi học chương trình thứ hai, SV được công nhận kết quả của những học phần có nội dung và khối lượng kiến thức tương đương có trong chương trình thứ nhất. 7. trong quá trình SV học cùng lúc hai chương trình, nếu ĐTBCHK dưới 2.00 sẽ không được đăng ký học học phần thuộc chương trình thứ hai ở HK tiếp theo và chỉ được học tiếp chương trình thứ hai khi kết quả học tập được cải thiện. riêng SV thuộc khóa 47 trở về sau, nếu ĐTBCTL dưới 2.00 hoặc thuộc diện bị cảnh báo học tập thì phải dừng học chương trình thứ hai ở HK tiếp theo SV sẽ bị loại khỏi danh sách đã đăng ký học chương trình thứ hai và được đăng ký lại chương trình thứ hai nếu đạt điều kiện được quy định tại khoản 1 điều này. 8. sinh viên chỉ được xét tốt nghiệp chương trình thứ hai, nếu có đủ điều kiện tốt nghiệp ở chương trình thứ nhất riêng đối với SV thuộc khóa 47 trở về sau được quy định thêm là đã đăng ký học chương trình thứ hai muộn nhất 02 năm trước thời điểm xét tốt nghiệp chương trình thứ hai.",__label__Dao_tao
"chương III  ĐÁNH GIÁ KẾT QUẢ HỌC TẬP  điều 21. đánh giá học phần 1. học phần lý thuyết hoặc học phần lý thuyết kết hợp thực hành điểm học phần được đánh giá qua tối thiểu hai điểm thành phần như điểm bài tập, điểm kiểm tra giữa kỳ, điểm thực hành, điểm đánh giá nhận thức, điểm tham gia thảo luận, điểm chuyên cần, điểm đồ án,... và điểm thi kết thúc học phần. thi kết thúc học phần là bắt buộc. phương pháp đánh giá học phần được công bố trong đề cương chi tiết học phần. tổ chức kỳ thi kết thúc học phần đề thi và đáp án đề thi kết thúc học phần thực hiện theo hướng dẫn và quy định hiện hành của trường ĐHCT. 2. học phần thực hành điểm học phần được tính bằng điểm trung bình của các bài thực hành. 3. đối với các học phần có khối lượng nhỏ hơn 02 TC có thể chỉ có điểm của một loại hình đánh giá. 4. hình thức đánh giá trực tuyến được áp dụng khi đảm bảo trung thực, công bằng và khách quan như đánh giá trực tiếp, đồng thời đóng góp không quá 50% trọng số tổng điểm học phần riêng việc tổ chức bảo vệ và đánh giá luận văn tốt nghiệp được thực hiện trực tuyến với trọng số cao hơn khi đáp ứng thêm các điều kiện sau đây a việc đánh giá được thực hiện thông qua một hội đồng chuyên môn gồm ít nhất 3 thành viên b hình thức bảo vệ và đánh giá trực tuyến được sự đồng thuận của các thành viên hội đồng và người học c diễn biến của buổi bảo vệ trực tuyến được ghi hình, ghi âm đầy đủ và lưu trữ d việc tổ chức đánh giá luận văn tốt nghiệp theo hình thức trực tuyến được thực hiện như văn bản hướng dẫn hiện hành của hiệu trưởng về việc đánh giá luận văn tốt nghiệp theo hình thức trực tuyến. phương pháp đánh giá, hình thức đánh giá học phần, trọng số các điểm thành phần do GV đề xuất, trưởng bộ môn thuộc khoa, viện hoặc trung tâm hoặc trưởng khoa thuộc trường chuyên ngành, trưởng đơn vị đào tạo quản lý học phần duyệt và công bố trong đề cương chi tiết học phần tại trang thông tin điện tử của trường. ",__label__Hoc_tap_ren_luyen
"điều 22. điểm học phần 1. điểm đánh giá thành phần và điểm thi kết thúc học phần được chấm theo thang điểm 10 từ 0 đến 10, làm tròn đến một chữ số thập phân. 2. điểm học phần là tổng số điểm của tất cả các điểm đánh giá thành phần của học phần nhân với trọng số tương ứng. điểm học phần được tính theo thang điểm 10 và làm tròn đến một chữ số thập phân. GV phụ trách học phần nhập điểm vào hệ thống quản lý trực tuyến, hệ thống quy đổi sang điểm chữ và điểm số theo thang điểm 4. cách quy đổi điểm được thực hiện theo bảng dưới đây  điểm số theo thang điểm 10  điểm chữ  điểm số theo thang điểm 4  -----------------------------------------------------------------  9.0 - 10.0  A  4.0   8.0 - 8.9  B+  3.5   7.0 - 7.9  B  3.0   6.5 - 6.9  C+  2.5   5.5 - 6.4  C  2.0   5.0 - 5.4  D+  1.5   4.0 - 4.9  D  1.0   nhỏ hơn 4.0  F  0.0  3. học phần chỉ được tính tích lũy khi đạt từ điểm D trở lên. 4. điểm học phần sẽ được công bố và ghi nhận với điểm số theo thang điểm 10 và điểm chữ. điểm chữ được quy đổi sang điểm số theo thang điểm 4 để tính ĐTBCHK và ĐTBCTL xem điều 24. 5. các điểm học phần khác a điểm M tương đương điểm R của thông tư 08/2021/TT-BGDĐT dùng để xác nhận học phần SV được miễn học do đã tích lũy được bằng các hình thức khác. điểm M không được tính vào ĐTBCHK và ĐTBCTL. số TC của học phần có điểm M được tính vào tổng số TC tích lũy. để nhận điểm M, SV phải làm đơn có ý kiến của trưởng đơn vị đào tạo xem xét theo từng HK, kèm theo giấy tờ hợp lệ. b điểm I chỉ áp dụng cho đánh giá kết thúc học phần. dành cho các trường hợp SV đã dự học, dự các lần kiểm tra giữa HK, đã thực hiện các hoạt động liên quan đến học phần như thí nghiệm, thực hành nhưng vì lý do bất khả kháng như ốm đau, tai nạn,... đã vắng mặt trong buổi thi kết thúc học phần và được GV phụ trách học phần chấp thuận cho bổ sung điểm. điểm I không được tính vào ĐTBCHK ở HK đó. để nhận được điểm I, SV phải làm đơn kèm theo hồ sơ hợp lệ nộp cho GV giảng dạy học phần xem xét và trình trưởng đơn vị đào tạo duyệt. thời hạn bổ sung điểm của học phần do GV quy định nhưng không quá 1 năm kể từ ngày thi lần trước. qua thời hạn trên, nếu SV không hoàn thành thì học phần sẽ nhận điểm F. c điểm W dành cho các học phần mà SV được phép rút theo quy định xem điều 15. điểm W không tính vào ĐTBCHK và ĐTBCTL. ",__label__Hoc_tap_ren_luyen
"điều 23. số lần thi, tổ chức thi và vắng thi 1. kỳ thi kết thúc học phần được tổ chức 1 lần. 2. thời gian tổ chức thi được thực hiện theo quy định xem điều 6. đối với các học phần riêng lẻ, GV tự sắp xếp để tổ chức thi thông qua hệ thống quản lý trực tuyến của trường ĐHCT đối với các học phần có nhiều SV, được giảng dạy nhiều lớp học phần thì có thể thi theo hình chung do đơn vị quản lý học phần quyết định và xếp lịch thi. lịch thi kết thúc học phần được công bố trên hệ thống quản lý trực tuyến và được GV thông báo đến tất cả SV chậm nhất 1 tuần trước ngày thi. 3. trong thời gian thi kết thúc học phần, nếu SV có lý do chính đáng không thể dự thi, được CVHT và GV giảng dạy học phần chấp thuận thì được phép vắng thi. sinh viên được phép vắng thi sẽ nhận điểm I theo quy định xem điểm b khoản 5 điều 22. điều 24. điểm trung bình chung học kỳ, điểm trung bình chung năm học và điểm trung bình chung tích lũy 1. số TC tích lũy là tổng số TC của các học phần đã tích lũy. 2. điểm trung bình chung học kỳ là trung bình có trọng số của điểm các học phần mà SV đã học trong HK kể cả các học phần bị điểm F và học phần điều kiện trừ học phần GDTC, với trọng số là số TC của các học phần đó. ĐTBCHK là cơ sở để đánh giá kết quả học tập, xét học bổng, khen thưởng, cảnh báo học tập sau mỗi HK. ĐTBCHK được tính theo công thức như sau \ \textđtbchk  \frac\sum_i1n x_i \cdot a_i\sum_i1n a_i \ trong đó - \x_i\ là điểm học phần thứ \i\ - \a_i\ là số TC của học phần thứ \i\ - \n\ là số học phần SV đăng ký học trong HK. 3. điểm trung bình chung năm học là trung bình có trọng số của điểm các học phần mà SV đã học trong năm học kể cả các học phần bị điểm F và học phần điều kiện trừ học phần GDTC. 4. điểm trung bình chung tích lũy là trung bình có trọng số của điểm các học phần đã tích lũy tính đến thời điểm xét không bao gồm các học phần bị điểm F và học phần điều kiện. ĐTBCTL là cơ sở để đánh giá kết quả học tập trong suốt thời gian học, xếp loại học tập, xếp hạng tốt nghiệp. 5. xếp loại học tập HK căn cứ vào ĐTBCHK xếp loại học tập năm học căn cứ vào ĐTBCNH theo bảng sau  xếp loại  ĐTBCHK/ĐTBCNH  ---------------------------  xuất sắc  3.60 - 4.00   giỏi  3.20 - 3.59   khá  2.50 - 3.19   trung bình  2.00 - 2.49   yếu  1.00 - 1.99   kém   1.00   điều 25. điểm rèn luyện 1. mức độ rèn luyện của SV được đánh giá từng HK và đo lường bằng ĐRL được chấm theo thang điểm 100 dựa vào các quy định hiện hành. ĐRL cả năm là trung bình cộng của ĐRL 3 HK. 2. sinh viên bị kỷ luật mức khiển trách cấp trường, khi đánh giá kết quả rèn luyện không được vượt quá loại khá. 3. sinh viên bị kỷ luật mức cảnh cáo cấp trường, khi đánh giá kết quả rèn luyện không được vượt quá loại trung bình. 4. sinh viên không thực hiện bảng đánh giá kết quả rèn luyện hoặc không nộp bảng đánh giá đúng thời gian quy định sẽ bị xếp loại kém ở HK đó. 5. sinh viên bị xếp loại rèn luyện yếu, kém trong 2 HK liên tiếp sẽ bị đình chỉ học tập 1 HK. 6. sinh viên bị xếp loại rèn luyện yếu, kém trong 2 HK liên tiếp lần thứ hai sẽ bị buộc thôi học. 7. sử dụng điểm rèn luyện a điểm rèn luyện toàn khóa học được lưu trong hồ sơ quản lý SV, ghi vào phụ lục văn bằng tốt nghiệp của SV. b điểm rèn luyện của SV từng HK là tiêu chí để xét HBKKHT, xếp loại và khen thưởng cuối mỗi năm học.",__label__Hoc_tap_ren_luyen
" điều 26. xếp loại và khen thưởng 1. xếp loại SV học đủ số TC theo quy định từ 12 TC trở lên cho mỗi HK, có tiến độ học tập trong khung thời gian thiết kế CTĐT, không vi phạm kỷ luật từ hình thức khiển trách cấp trường trở lên, đạt thành tích cao trong học tập và rèn luyện sẽ được xếp loại như sau a loại xuất sắc học tập và rèn luyện đạt loại xuất sắc. b loại giỏi học tập đạt từ loại giỏi và rèn luyện đạt từ loại tốt trở lên. c loại khá học và rèn luyện đạt từ loại khá trở lên. 2. khen thưởng a SV trúng tuyển vào trường ĐHCT có điểm cao sẽ được khen thưởng theo quyết định của hiệu trưởng. b SV tốt nghiệp đúng hoặc sớm hơn thời gian thiết kế của CTĐT - sinh viên đạt từ loại khá toàn khóa trở lên được xét thủ khoa của ngành/chuyên ngành đào tạo sẽ được cấp giấy khen và phần thưởng. - sinh viên đạt từ loại giỏi toàn khóa trở lên sẽ được cấp giấy khen. c khen thưởng SV cuối mỗi năm học hiệu trưởng xét cấp giấy khen và phần thưởng cho mỗi lớp chuyên ngành một 01 SV được xếp loại giỏi trở lên. trường hợp SV có cùng kết quả học tập thì ưu tiên chọn SV có ĐRL cao hơn. 3. định mức khen thưởng do hiệu trưởng quyết định. ",__label__Khen_thuong_ky_luat
"điều 27. quy định về thi và kiểm tra sinh viên có trách nhiệm chấp hành các quy định về thi và kiểm tra, cụ thể như sau 1. thực hiện đúng lịch kiểm tra và thi của trường ĐHCT, của đơn vị đào tạo. phải có mặt đúng giờ, nếu đến trễ 15 phút sau khi mở đề, SV sẽ không được dự thi và xem như vắng thi không lý do, sẽ nhận điểm F cho học phần đó. 2. phải mang thẻ SV hoặc giấy tờ khác có dán ảnh và thông tin cá nhân do cơ quan có thẩm quyền cấp, còn giá trị sử dụng để chứng minh về nhân thân như chứng minh nhân dân, căn cước công dân, hộ chiếu, giấy phép lái xe,... khi vào phòng thi. tuyệt đối chấp hành sự kiểm tra, quản lý và hướng dẫn của cán bộ coi thi CBCT. các vật dụng không được sử dụng trong quá trình thi phải để tập trung đúng nơi quy định. 3. trong thời gian thi, SV chỉ được ra ngoài phòng thi nếu có lý do chính đáng, được CBCT đồng ý và lập biên bản. 4. bài thi phải làm trên giấy thi thống nhất, viết rõ ràng, sạch sẽ. được sử dụng bút mực hoặc bút bi màu xanh dương, đen hoặc tím thước kẻ thước tính máy tính điện tử không có thẻ nhớ và không soạn thảo được văn bản giấy nháp có chữ ký của CBCT. 5. trong giờ thi SV phải giữ trật tự, nghiêm túc làm bài và bảo vệ bài làm của mình, không để người khác xem bài của mình. nếu có thắc mắc phải hỏi công khai. nếu có tình huống bất thường phải báo cáo để CBCT giải quyết. 6. những bài thi sau đây là không hợp lệ và không được chấm điểm a làm bài trên giấy thi khác với giấy thi quy định. b không có chữ ký của CBCT. c viết bằng bút chì, mực đỏ hình vẽ có thể dùng bút chì. d các bài làm giống nhau. đ viết, vẽ các thông tin không liên quan đến bài thi. 7. hết giờ làm bài, SV phải ngừng viết, để bài làm trước mặt và im lặng chờ CBCT thu bài. khi nộp bài phải ghi rõ số tờ giấy thi đã nộp và ký tên vào danh sách dự thi. sinh viên vi phạm các quy định trên đây sẽ bị CBCT lập biên bản về hành vi vi phạm và bị xử lý kỷ luật theo quy định xem điều 28.",__label__Hoc_tap_ren_luyen
" điều 28. các hình thức xử lý sinh viên vi phạm quy định về thi và kiểm tra 1. khiển trách khi SV vi phạm một trong các lỗi a nhìn bài của người khác. b trao đổi, thảo luận với người khác. sinh viên bị khiển trách sẽ bị trừ 25% điểm số của lần thi/kiểm tra đó. SV bị khiển trách 2 lần trong một năm học sẽ bị kỷ luật cảnh cáo toàn đơn vị đào tạo nơi quản lý SV. 2. cảnh cáo khi SV vi phạm một trong các lỗi sau a đã bị khiển trách một lần nhưng vẫn tiếp tục vi phạm trong một buổi thi. b trao đổi giấy nháp cho nhau nhưng chưa sử dụng xử lý cả 2 SV. c chép bài của người khác hoặc để cho người khác chép bài của mình. d không chấp hành sự quản lý, nhắc nhở của CBCT hoặc có thái độ thiếu tôn trọng, vô lễ đối với CBCT. sinh viên bị cảnh cáo sẽ bị trừ 50% điểm số của lần thi/kiểm tra đó. SV bị cảnh cáo thi 2 lần trong một năm học sẽ bị kỷ luật cảnh cáo toàn trường ĐHCT. 3. đình chỉ thi khi SV vi phạm một trong các lỗi sau a đã bị cảnh cáo một lần nhưng vẫn tiếp tục vi phạm trong một buổi thi. b sau khi mở đề thi bị phát hiện vẫn còn mang theo người hoặc nơi ngồi của mình những vật dụng không được phép mang vào phòng thi. c sử dụng giấy nháp hoặc bài làm của người khác xử lý cả 2 SV. d đưa đề thi ra ngoài nhờ người khác làm hộ hoặc nhận bài giải từ ngoài vào phòng thi. đ có hành động gây rối hoặc đe dọa CBCT hoặc SV khác. sinh viên bị đình chỉ thi bị nhận điểm 0 cho lần thi/kiểm tra đó. SV bị đình chỉ thi 2 lần trong một năm học sẽ bị đình chỉ học tập 1 năm sau đó. nếu tái phạm sẽ bị buộc thôi học. 4. xử lý thi hộ áp dụng cho cả người thi hộ và người nhờ thi hộ a vi phạm lần thứ nhất - người nhờ thi hộ nhận điểm 0 học phần đó, đình chỉ học tập 1 năm. - người thi hộ đình chỉ học tập 1 năm. b vi phạm lần thứ hai trong cả khóa học buộc thôi học. các trường hợp vi phạm khác tùy mức độ sẽ do hội đồng kỷ luật của trường ĐHCT xem xét và quyết định hình thức xử lý.",__label__Khen_thuong_ky_luat
" điều 29. thông báo kết quả học tập 1. giảng viên chịu trách nhiệm thông báo điểm đánh giá thành phần giải đáp thắc mắc nếu có của SV về kết quả học tập của học phần nhập điểm học phần vào hệ thống quản lý trực tuyến và in hai 02 bản điểm, ký tên, gửi đơn vị đào tạo quản lý học phần. đơn vị đào tạo quản lý học phần lưu một 01 bản và gửi về phòng đào tạo một 01 bản chậm nhất là 10 ngày kể từ ngày kết thúc kế hoạch nhập điểm của HK. trưởng đơn vị đào tạo quản lý học phần ký duyệt bảng điểm và xử lý tất cả khiếu nại liên quan đến kết quả học tập của học phần do đơn vị đào tạo quản lý và chỉ thực hiện trong thời gian 1 tuần kể từ ngày công bố điểm. 2. đơn vị quản lý học phần lưu giữ các bài thi viết, tiểu luận ít nhất là 05 năm kể từ ngày thi hoặc ngày nộp tiểu luận. 3. trong quá trình học tập, SV có thể đăng ký cấp bảng điểm HK theo nhu cầu riêng mức chi phí do trường ĐHCT quy định.",__label__Hoc_tap_ren_luyen
" điều 30. xếp trình độ năm học xếp trình độ năm học được xác định dựa vào tổng số TC mà SV đã tích lũy, không dựa vào thời gian SV vào trường. sau mỗi HK, căn cứ vào khối lượng TC tích lũy, SV được xếp trình độ năm học như sau  xếp trình độ năm học  số TC đã tích lũy K.36 đến K.39  số TC đã tích lũy từ K.40 đến K.44  số TC đã tích lũy từ K.45 trở về sau  ---------------------------------------------------------------------------------------------------------------------------------------  năm thứ nhất  dưới 30  dưới 36  dưới 36   năm thứ hai  từ 30 đến dưới 60  từ 36 đến 70  từ 36 đến 70   năm thứ ba  từ 60 đến dưới 90  từ 71 đến 105  từ 71 đến 105   năm thứ tư  từ 90 đến dưới 120  từ 106 đến 140  từ 106 đến 141   năm thứ năm  từ 120 trở lên  trên 140  trên 141",__label__Hoc_tap_ren_luyen
"chương IV  XÉT VÀ CÔNG NHẬN TỐT NGHIỆP  điều 31. luận văn, tiểu luận tốt nghiệp và tích lũy tín chỉ tốt nghiệp tùy theo tính chất của ngành đào tạo, SV được hướng dẫn thực hiện một trong ba hình thức sau 1.luận văn tốt nghiệp LVTN sau khi hoàn thành luận văn, SV sẽ bảo vệ trước hội đồng gồm 3 thành viên, trong đó có cán bộ hướng dẫn SV đó. điểm LVTN của SV là trung bình cộng của 3 thành viên hội đồng trong số bằng nhau. hội đồng bảo vệ LVTN do trưởng đơn vị đào tạo quyết định. trường hợp không thể tổ chức đánh giá tập trung tại trường, việc tổ chức bảo vệ và đánh giá LVTN được thực hiện trực tuyến xem khoản 4 điều 21 quy định này. 2. tiểu luận tốt nghiệp TLTN TLTN do cán bộ hướng dẫn và 1 cán bộ khác chấm, không phải bảo vệ trước hội đồng. cán bộ chấm TLTN do trưởng đơn vị đào tạo quyết định. 3. tích lũy TC tốt nghiệp SV có thể chọn hình thức không làm LVTN hoặc TLTN. những SV này phải học thêm các học phần tự chọn để đủ số TC theo yêu cầu của CTĐT. để được nhận đề tài LVTN hoặc TLTN, SV phải thỏa mãn các điều kiện do đơn vị đào tạo quy định. cuối mỗi HK, đơn vị đào tạo xét và công bố hình thức thực hiện cuối khóa cho SV ở HK tiếp theo. sinh viên làm LVTN hay TLTN đều phải đăng ký học phần như các học phần khác. sinh viên nhận điểm F của LVTN hay TLTN phải đăng ký làm lại hoặc đăng ký các học phần thay thế để hoàn thành CTĐT.",__label__Tot_nghiep
